code,nom,departement,surface_ha,foret_ha,taux_boisement,score,total_perturb_ha,taux_coupe_annuel
01001,L'Abergement-Clémenciat,01,1563.427,417.833,26.725,C,11.79,0.364
01002,L'Abergement-de-Varey,01,912.06,670.476,73.512,B,7.36,0.142
01004,Ambérieu-en-Bugey,01,2450.741,1235.561,50.416,B,11.14,0.116
01005,Ambérieux-en-Dombes,01,1609.331,136.409,8.476,E,3.01,0.285
01006,Ambléon,01,600.843,449.684,74.842,A,3.45,0.099
01007,Ambronay,01,3356.917,1002.22,29.855,C,28.77,0.37
01008,Ambutrix,01,520.33,151.343,29.086,C,0.48,0.041
01009,Andert-et-Condon,01,695.461,374.972,53.917,C,11.14,0.383
01010,Anglefort,01,2947.449,1872.561,63.532,A,8.05,0.055
01011,Apremont,01,1505.996,1040.399,69.084,C,26.71,0.331
01012,Aranc,01,2170.873,1448.754,66.736,C,36.63,0.326
01013,Arandas,01,1404.57,848.735,60.427,C,27.9,0.424
01014,Arbent,01,2373.92,1877.398,79.084,C,47.58,0.327
01015,Arboys en Bugey,01,2244.11,1295.442,57.726,C,33.62,0.335
01016,Arbigny,01,1760.299,391.945,22.266,D,24.92,0.82
01017,Argis,01,787.888,560.17,71.098,A,1.67,0.038
01019,Armix,01,697.209,521.833,74.846,A,1.18,0.029
01021,Ars-sur-Formans,01,557.022,17.747,3.186,E,0.0,0.0
01022,Artemare,01,334.402,126.527,37.837,C,0.48,0.049
01023,Asnières-sur-Saône,01,468.692,8.372,1.786,E,3.53,5.441
01024,Attignat,01,1894.83,251.826,13.29,D,3.52,0.18
01025,Bâgé-Dommartin,01,5701.865,743.174,13.034,D,29.91,0.519
01026,Bâgé-le-Châtel,01,84.753,0.0,0.0,E,0.0,0
01027,Balan,01,1783.978,566.89,31.777,C,7.92,0.18
01028,Baneins,01,905.851,92.939,10.26,D,6.07,0.843
01029,Beaupont,01,1400.563,186.425,13.311,D,3.85,0.266
01030,Beauregard,01,95.27,28.256,29.659,C,0.0,0.0
01031,Bellignat,01,779.345,481.566,61.791,B,6.63,0.178
01032,Béligneux,01,1333.908,400.937,30.057,C,2.22,0.071
01033,Valserhône,01,1542.75,627.464,40.672,E,119.52,2.458
01034,Belley,01,2263.357,545.509,24.102,D,34.42,0.814
01035,Belleydoux,01,1789.872,1375.985,76.876,C,32.16,0.302
01036,Valromey-sur-Séran,01,1971.12,1156.282,58.661,D,58.99,0.658
01037,Bénonces,01,1537.141,1085.057,70.589,A,2.89,0.034
01038,Bény,01,1828.665,319.866,17.492,D,1.77,0.071
01039,,,1019.577,686.312,67.313,E,1684.8,31.676
01040,Béréziat,01,1126.474,183.58,16.297,D,10.24,0.72
01041,Bettant,01,345.865,243.035,70.269,A,0.95,0.05
01042,Bey,01,279.962,18.373,6.563,E,2.68,1.882
01043,Beynost,01,1069.25,102.648,9.6,E,0.0,0.0
01044,Billiat,01,1398.877,644.569,46.078,C,17.05,0.341
01045,Birieux,01,1576.901,190.68,12.092,D,11.03,0.746
01046,Biziat,01,1162.008,34.473,2.967,E,4.0,1.497
01047,Blyes,01,935.027,248.289,26.554,C,0.0,0.0
01049,La Boisse,01,941.035,145.504,15.462,D,2.27,0.201
01050,Boissey,01,939.963,143.917,15.311,D,4.11,0.368
01051,Bolozon,01,500.051,332.567,66.507,A,0.0,0.0
01052,Bouligneux,01,2627.332,306.119,11.651,D,11.42,0.481
01053,Bourg-en-Bresse,01,2404.802,409.281,17.019,D,9.82,0.31
01054,Bourg-Saint-Christophe,01,890.246,76.292,8.57,E,0.54,0.091
01056,Boyeux-Saint-Jérôme,01,1664.982,1185.909,71.227,B,15.26,0.166
01057,Boz,01,774.148,200.262,25.869,E,35.25,2.271
01058,Brégnier-Cordon,01,1129.368,525.385,46.52,D,31.94,0.784
01059,,,988.523,538.255,54.45,E,1562.1,37.447
01060,Brénod,01,2400.284,1431.233,59.628,D,105.23,0.949
01061,Brens,01,685.377,138.702,20.237,C,5.08,0.473
01062,Bressolles,01,767.569,183.482,23.904,C,6.58,0.463
01063,Brion,01,453.01,202.828,44.773,E,32.41,2.062
01064,Briord,01,1237.67,638.197,51.564,B,1.27,0.026
01065,Buellas,01,1025.584,119.076,11.611,D,3.36,0.364
01066,La Burbanche,01,1109.316,911.224,82.143,A,0.38,0.005
01067,Ceignes,01,1022.216,659.996,64.565,D,52.38,1.024
01068,Cerdon,01,1211.294,924.632,76.334,A,5.7,0.08
01069,Certines,01,1596.644,581.662,36.43,E,96.63,2.144
01071,Cessy,01,643.376,52.148,8.105,E,5.2,1.287
01072,Ceyzériat,01,922.699,375.85,40.734,B,2.88,0.099
01073,Ceyzérieu,01,1974.867,928.334,47.007,C,17.72,0.246
01074,Chalamont,01,3296.64,606.299,18.391,D,45.0,0.958
01075,Chaleins,01,1712.577,27.836,1.625,E,3.62,1.678
01076,Chaley,01,471.334,435.948,92.492,A,0.0,0.0
01077,Challes-la-Montagne,01,776.325,383.859,49.446,B,4.8,0.161
01078,Challex,01,880.029,225.942,25.674,C,1.76,0.101
01079,Champagne-en-Valromey,01,1821.539,417.444,22.917,C,7.98,0.247
01080,Champdor-Corcelles,01,3153.28,1934.896,61.361,D,83.18,0.555
01081,Champfromier,01,3183.706,2766.975,86.911,B,32.47,0.151
01082,Chanay,01,1839.568,1266.384,68.841,C,20.7,0.211
01083,Chaneins,01,1272.209,163.2,12.828,E,21.47,1.698
01084,Chanoz-Châtenay,01,1329.901,168.898,12.7,D,5.0,0.382
01085,La Chapelle-du-Châtelard,01,1362.615,147.906,10.855,D,4.26,0.372
